N Size, Run #1, Run #2, Run #3, Run #4, Run #5, Optimal Time Avg, Run #1, Run #2, Run #3, Run #4, Run #5, Worst Case Time Avg, Run #1, Run #2, Run #3, Run #4, Run #5, Avg Sort Time
10,6.11e-07s,4.01e-07s,2.06e-07s,2.9e-07s,2.02e-07s,3.42e-07,9.77e-07s,7.62e-07s,5.76e-07s,6.4e-07s,6.34e-07s,1.0598e-06,2.016e-06s,1.023e-06s,8.07e-07s,9.37e-07s,1.028e-06s,2.222e-06,
50,6.95e-07s,5.6e-07s,5.49e-07s,5.72e-07s,6.58e-07s,2.8288e-06,1.0411e-05s,2.3649e-05s,9.913e-06s,9.792e-06s,9.669e-06s,1.55156e-05,1.0088e-05s,9.692e-06s,1.1341e-05s,1.1551e-05s,1.1773e-05s,2.64046e-05,
100,8.98e-07s,8.91e-07s,8.99e-07s,9.23e-07s,8.81e-07s,2.7303e-05,3.679e-05s,3.6777e-05s,4.9892e-05s,3.8009e-05s,3.8089e-05s,6.72144e-05,4.024e-05s,4.0209e-05s,3.7816e-05s,3.985e-05s,4.5129e-05s,0.000107863,
500,3.878e-06s,3.851e-06s,3.82e-06s,3.869e-06s,3.822e-06s,0.000111711,0.000994686s,0.00096201s,0.000923128s,0.000912775s,0.000915505s,0.00105333,0.00088627s,0.000875409s,0.000864884s,0.000834848s,0.00102683s,0.00195098,
1000,7.138e-06s,6.992e-06s,7.042e-06s,7.017e-06s,7.114e-06s,0.00195804,0.00346658s,0.00622583s,0.0224675s,0.00373979s,0.00388519s,0.00991502,0.00332867s,0.00332426s,0.00344736s,0.0034241s,0.00343603s,0.0133071,
5000,4.9913e-05s,3.7773e-05s,3.8115e-05s,3.8261e-05s,3.8332e-05s,0.0133476,0.0937559s,0.0931004s,0.0933068s,0.0934511s,0.0937329s,0.106817,0.0935531s,0.0946384s,0.0940048s,0.0926253s,0.0918287s,0.200147,
10000,0.000107902s,7.3565e-05s,7.2843e-05s,8.4231e-05s,8.9575e-05s,0.200233,0.376678s,0.380764s,0.377081s,0.377048s,0.38029s,0.578605,0.417112s,0.421358s,0.439941s,0.421263s,0.422295s,1.003,
50000,0.00047322s,0.000395477s,0.00047079s,0.000382183s,0.000390445s,1.00342,10.1073s,11.4201s,9.93442s,9.48712s,9.94577s,11.1824,12.808s,12.7019s,12.8103s,12.5408s,12.517s,23.858,
100000,0.000894492s,0.000770693s,0.00076097s,0.000779873s,0.000818097s,23.8588,41.9754s,40.2414s,43.462s,41.9078s,43.0845s,65.993,54.5093s,53.2269s,52.3301s,53.7347s,93.1047s,127.374,
